Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,Salida,,,,,
1,-5.284493632,-4.550698985,-4.783925868,-4.326211819,-5.630200209,-1.597598277,-2.652637962,0,,,,,
1,-5.55159512,-4.511179559,-4.478743106,-2.953062412,-0.9151845857,-5.60943058,1.460879227,0,,,,,
1,-1.484901423,-2.619572392,-1.781771736,-2.184999206,-5.472692578,-4.770836416,-5.262943396,0,,,,,
0,-3.435843689,-0.6457962611,-3.68228503,-3.609181521,-2.001158616,-3.011794439,1.705946575,0,,,,,
1,-5.520935388,-2.673263634,-1.935952211,-3.355105651,-3.47736368,-0.5300102065,-1.768173638,0,,,,,
0,-4.998745024,-5.634304023,-3.904880424,-2.849923874,-0.5843247611,-1.26459747,4.965257924,0,,,,,
0,-2.257319552,-1.632380963,-1.420721256,-3.321441236,-4.576268644,-1.299311087,2.410464878,0,,,,,
1,-4.877632448,-3.396222853,-2.365599946,-3.561965104,-0.4224054663,-5.742199656,-4.865916237,0,,,,,
0,-1.7987799,-3.913091741,-3.037117374,-5.812342671,-2.598642734,-1.320704166,-2.373947321,0,,,,,
0,-4.3084213,-5.478513535,-2.434034456,-5.663611149,-0.5002778643,-2.653952069,2.574678136,0,,,,,
0,-5.23750747,-2.06106048,-0.02131975555,-5.620558995,-2.680064049,-3.416491981,-5.428087969,0,,,,,
0,-1.406339388,-0.2773128698,-3.918297508,-0.8413518096,-5.548872754,-4.874970975,6.20062454,0,,,,,
1,-4.697297844,-5.5350729,-1.83072816,-5.272644166,-4.840698008,-1.510750398,5.788342452,0,,,,,
0,-0.3356757613,-3.916297803,-2.425974627,-4.509307469,-1.152782261,-5.180141626,4.810045086,0,,,,,
0,-3.799122762,-2.984627097,-0.9846234013,-0.5565496548,-4.086316844,-4.904564985,1.947496044,0,,,,,
0,-5.16214705,-4.519491526,-3.588096475,-4.144985781,-0.131951708,-0.6918856482,5.216566892,0,,,,,
1,-3.403227622,-1.477291908,-4.071979955,-5.984675174,-5.209579289,-3.354228644,5.730145319,0,,,,,
0,-4.866136205,-4.495167304,-5.97109568,-5.823307558,-2.350948561,-2.556609521,0.839032168,0,,,,,
0,-4.905516152,-5.647321522,-0.2165167383,-3.854803819,-0.1672353087,-4.930146187,6.81045378,0,,,,,
0,-5.235855317,-1.461296042,-1.927365441,-5.005552324,-5.470955548,-3.774588402,4.185489134,0,,,,,
1,-3.309753336,-0.752693221,-1.793732983,-0.6816017993,-4.553417329,-5.906100203,4.664656642,0,,,,,
1,-3.615312973,-3.138885747,-1.089418811,-4.191918495,-1.401821232,-4.128623451,-5.890100784,0,,,,,
0,-5.259097081,-5.360020434,-0.4151308962,-5.979882668,-0.4501813599,-1.033480532,-6.767993307,0,,,,,
1,-1.931235061,-2.066755724,-2.708214985,-0.3040570164,-4.230760551,-4.455440541,-5.569165615,0,,,,,
0,-3.038497892,-2.785573187,-3.075502638,-5.949079978,-0.5749815234,-4.996100074,-3.159524981,0,,,,,
1,-3.906217004,-0.5235038016,-0.8424803678,-3.734995038,-1.949183996,-1.612337138,3.173579122,0,,,,,
1,-1.634735541,-2.051591913,-3.652756043,-3.718565904,-2.785038605,-4.097109725,2.068188138,0,,,,,
1,-3.637381741,-3.670406518,-5.101835926,-1.968135169,-2.02275519,-1.238894078,3.617607048,0,,,,,
1,-0.7102212497,-1.594158451,-2.609757537,-4.841123437,-2.390667587,-1.997352558,4.490972133,0,,,,,
0,-4.402641822,-1.633032773,-0.01331821571,-2.488840537,-4.842246688,-0.7880689318,4.88122915,0,,,,,
1,-0.7753757569,-5.52682773,-0.2008579889,-2.49832755,-5.121880791,-3.372144075,0.5568617395,0,,,,,
1,-1.081879818,-4.111752088,-5.004038637,-4.452880705,-3.703757165,-0.5931102694,-5.071077074,0,,,,,
0,-3.438395024,-4.3610471,-1.504671341,-3.886379637,-5.114096033,-2.942050292,-6.535986705,0,,,,,
0,-0.09152362547,-4.998936686,-1.87489697,-2.11660713,-2.728035495,-1.261450315,-3.287201894,0,,,,,
0,-2.949799766,-0.2738869723,-4.790144129,-3.204454743,-3.551944928,-3.209704831,-3.923130524,0,,,,,
1,-1.936186947,-5.367364449,-3.793607748,-2.057118304,-4.246279584,-0.06605183358,4.319957603,0,,,,,
0,-2.057378542,-4.557868129,-2.646584598,-1.423485074,-5.843170099,-5.184248142,-4.881852996,0,,,,,
0,-2.775419737,-2.723534665,-4.913996428,-3.134303751,-3.027065204,-3.830132839,-6.751973361,0,,,,,
0,-0.9583133859,-5.209546277,-2.175011096,-5.620950357,-2.053874374,-5.513582864,3.486483141,0,,,,,
1,-4.961803528,-2.846749906,-3.781303123,-0.5950481853,-2.188807422,-0.9063347607,-5.378552499,0,,,,,
1,-0.9635285336,-1.149160458,-3.428604924,-1.81437603,-1.869183738,-1.491582409,-5.719630101,0,,,,,
1,-2.835338239,-4.589871554,-2.57584646,-2.997052352,-5.649185064,-1.514335358,-3.265349664,0,,,,,
0,-1.292015743,-3.244975269,-0.7331666729,-3.171348768,-1.470208747,-3.627712814,1.51107584,0,,,,,
1,-5.969514601,-5.157614105,-2.055126002,-0.6717565312,-3.306597544,-5.36675976,-4.197988834,0,,,,,
1,-5.403252178,-0.3331727386,-3.364012779,-1.668696674,-1.045364632,-3.293567135,4.457055794,0,,,,,
1,-1.654899903,-5.469651855,-3.204600226,-3.223326536,-3.66536374,-0.0366724359,-4.660559721,0,,,,,
0,-2.195272711,-1.698241382,-3.966731416,-2.055616868,-2.176181677,-1.538672298,-4.10985167,0,,,,,
0,-3.074272565,-4.637221778,-0.4818121875,-5.031211377,-5.231915672,-1.197626041,-1.076834714,0,,,,,
1,-0.5267454814,-1.90405867,-5.93443705,-0.3007811784,-3.700101273,-1.814000097,-1.926377625,0,,,,,
1,-5.02913219,-0.246424743,-2.076117887,-0.1645688271,-1.93162458,-3.160426087,-1.013929038,0,,,,,
0,-0.1390281892,-2.402299985,-2.830709534,-2.61843102,-1.104028037,-4.529087526,-2.578404936,0,,,,,
0,-3.235138935,-0.4891730807,-5.325422333,-4.517051227,-4.357602339,-1.697688045,5.23301593,0,,,,,
1,-0.7199624938,-1.070767297,-5.833127361,-2.143073241,-2.727024677,-1.378974507,1.289995262,0,,,,,
1,-0.7550667439,-3.593368437,-2.302471907,-1.853799745,-5.953336674,-1.125705594,-6.31033196,0,,,,,
0,-4.414670906,-0.8688336381,-0.5783585219,-3.222288063,-4.891208629,-5.492565324,3.656321324,0,,,,,
0,-4.243105715,-5.059109516,-3.111371853,-3.479730308,-0.7193853933,-0.5729256845,3.444222548,0,,,,,
1,-0.4702170188,-4.48282374,-2.573072592,-1.22630615,-0.02010603943,-0.6100073705,-2.102090569,0,,,,,
1,-5.156757075,-2.433740328,-5.402086085,-5.049617671,-4.941640333,-4.979785223,-1.008753309,0,,,,,
1,-0.7343128682,-3.228979559,-1.620692569,-1.746150813,-1.290226267,-5.364570033,5.799057697,0,,,,,
0,-3.879594215,-2.688613889,-5.93827377,-0.7383943788,-4.32046036,-1.447179267,5.528934018,0,,,,,
1,-5.832747742,-2.232150249,-1.518201902,-1.217281818,-2.996972811,-4.913874261,2.952576627,0,,,,,
1,-1.954330742,-0.5273465446,-4.425484784,-1.431332517,-3.308903255,-4.001320695,1.476106957,0,,,,,
0,-4.563545869,-4.951721366,-0.4591237188,-0.5466203948,-1.99103867,-2.626524004,5.361452155,0,,,,,
1,-1.364956002,-1.83388164,-4.180565627,-3.532239018,-5.806509892,-1.994135615,4.338011739,0,,,,,
1,-4.556559731,-1.313093327,-5.343454156,-1.259667324,-4.467767212,-1.046884321,6.125228986,0,,,,,
1,-0.9952553982,-4.70822467,-5.38425839,-4.656885848,-0.01680098586,-4.638111247,6.4286215,0,,,,,
0,-4.717004142,-0.399519498,-2.556073221,-5.573996548,-2.814465852,-1.042334564,4.291260518,0,,,,,
0,-4.949401297,-1.764621445,-5.832048552,-2.304044252,-5.120562229,-0.5671587391,1.013959514,0,,,,,
1,-0.9979047661,-5.439905535,-1.006111501,-5.261871697,-2.660033348,-0.4115346745,-4.715464198,0,,,,,
1,-4.446128693,-5.087146971,-0.3100363759,-4.327679497,-2.348863098,-1.144611651,-6.568302916,0,,,,,
1,-5.365397459,-3.75861588,-2.04827858,-3.240004785,-2.166444145,-3.377538115,-2.333320503,0,,,,,
1,-3.96843629,-5.299077031,-3.744188254,-2.598077683,-2.584864895,-0.1420182255,-5.483411243,0,,,,,
0,-2.928877976,-5.93207057,-5.356468689,-5.128767844,-0.1123671616,-1.407749113,6.523872034,0,,,,,
0,-1.394985403,-4.217519538,-0.931014415,-0.2434686849,-0.9791415053,-4.458492605,0.1625640726,0,,,,,
0,-2.585065588,-5.368370433,-2.861477765,-1.417459483,-3.488498068,-5.291299082,-4.40238862,0,,,,,
1,-3.391110266,-4.593071433,-0.5333096623,-1.985625258,-0.6813000002,-5.697698707,-4.38243615,0,,,,,
0,-5.726776465,-5.623066464,-5.100642712,-1.980796215,-1.78085234,-2.989238601,3.747903214,0,,,,,
1,-2.467372754,-0.7247848855,-2.88589618,-0.09607143815,-3.520034565,-2.655205098,1.767397122,0,,,,,
0,-5.54756462,-2.569978589,-1.053168388,-2.334677852,-4.859378379,-4.17061244,2.715877252,0,,,,,
1,-2.752159541,-4.554530164,-3.857662646,-5.4340353,-2.53277435,-3.082161579,-4.555425056,0,,,,,
0,-0.1671063468,-0.1474307255,-0.4721307439,-2.414811907,-2.58267393,-3.267911636,-0.9840631538,0,,,,,
1,-5.294256081,-4.427534447,-3.068984704,-4.392803217,-5.255241518,-3.795727403,-2.984364382,0,,,,,
0,-0.2873115601,-0.1199618375,-5.992219666,-1.829074382,-1.476461028,-4.374235435,-2.435865292,0,,,,,
1,-2.08847968,-5.04007666,-2.728747437,-1.229349476,-0.2654874313,-1.72318259,0.06799521986,0,,,,,
0,-0.8594213231,-5.984317424,-0.9015812675,-2.59593394,-4.410719403,-5.285718309,0.110970036,0,,,,,
0,-2.896194545,-5.613192723,-2.675601873,-2.839268278,-1.108320021,-5.995453421,-1.059270213,0,,,,,
1,-2.119893273,-4.577937635,-1.390259314,-2.74503614,-0.4632044849,-5.051106244,0.3084819281,0,,,,,
0,-4.316262879,-1.666974039,-1.101254662,-2.22834852,-5.086016242,-0.9492039086,-4.277506106,0,,,,,
1,-5.340537778,-5.363133753,-1.066170906,-5.838608691,-4.771469352,-1.643829535,-1.737643806,0,,,,,
0,-3.446167099,-5.762357141,-2.61401307,-4.416420837,-3.413389703,-0.1715306881,4.867396992,0,,,,,
1,-2.962287801,-0.781348937,-0.9499603967,-3.51091698,-2.260729807,-5.38430907,1.502479528,0,,,,,
0,-5.637614155,-0.6519450924,-2.542510141,-3.173153611,-5.497746232,-2.841514471,0.04318067046,0,,,,,
1,-2.384095699,-3.018293973,-4.090961518,-1.518115668,-1.046022383,-2.073632909,4.596486684,0,,,,,
1,-0.6429299194,-3.873659679,-0.7285995468,-5.148654943,-4.942144749,-3.731860795,4.606334395,0,,,,,
0,-3.838955246,-2.052069719,-1.219622961,-0.06878815073,-0.4974204187,-5.037006888,-4.879463106,0,,,,,
0,-3.254486849,-3.188214764,-2.325412018,-2.400401078,-3.518343519,-3.017014024,-6.829529944,0,,,,,
1,-5.278919423,-0.9156499158,-1.454666186,-1.920826266,-2.540715296,-1.922670457,4.723877862,0,,,,,
0,-2.92784997,-0.3253641526,-3.619149201,-0.3480918858,-5.750533717,-1.861448299,-1.834309427,0,,,,,
0,-5.124516616,-5.98110005,-5.921772291,-4.718442794,-5.170329261,-0.4311824183,5.756361315,0,,,,,
1,-1.06337781,-1.323495144,-5.728503041,-1.327448257,-0.6636770124,-5.270317745,6.739959955,0,,,,,
1,-4.981183117,-2.112735624,-5.421359403,-0.1426677738,-4.699470431,-5.841344931,4.892533223,0,,,,,
1,-4.000789726,-5.960817703,-3.852824185,-1.055201339,-0.749214616,-4.26081541,3.58446194,0,,,,,
0,-5.574574252,-4.937928802,-1.875891793,-4.964076234,-4.046135826,-2.403521764,-1.252608085,0,,,,,
0,-2.866379676,-0.5045745853,-3.413042586,-2.14007072,-4.133886203,-5.45502074,4.623232831,0,,,,,
0,-0.6869972249,-3.778605888,-4.837842519,-4.830449685,-5.844739627,-5.052993409,-1.653566478,0,,,,,
0,-1.124803527,-3.342350422,-3.618615674,-2.667430431,-5.134206312,-5.206798462,1.436334236,0,,,,,
1,-5.151118062,-4.670562022,-4.661860804,-0.5480504933,-3.797415552,-1.965315378,-2.961122417,0,,,,,
0,-1.042906871,-3.808674426,-1.969727839,-5.919673113,-2.404136261,-5.63657138,6.822592588,0,,,,,
1,-2.952701842,-2.966753497,-1.363612996,-0.3099769656,-5.317714065,-3.060755319,2.924497635,0,,,,,
0,-2.955160532,-3.542245079,-3.178914065,-1.315605133,-4.228037175,-3.068195546,-6.81664621,0,,,,,
1,-3.577917155,-2.320705402,-2.141187499,-0.8012006937,-2.922060513,-1.654869906,3.841495602,0,,,,,
0,-2.571697691,-4.977797345,-1.137055717,-1.813167409,-5.306007395,-2.15339047,-4.852637569,0,,,,,
0,-3.529896073,-5.526360787,-2.436682657,-1.408205065,-4.081326275,-2.809551688,-5.480664705,0,,,,,
1,-2.10552251,-2.719999586,-3.849193945,-5.172530933,-3.457127817,-2.23746122,5.877168405,0,,,,,
0,-0.5243124338,-0.9861340608,-3.867703568,-5.78325037,-3.179835914,-3.491594011,-6.43586349,0,,,,,
0,-4.074539174,-0.2799262418,-1.499230208,-4.645354889,-3.775439114,-2.008625435,-3.788523736,0,,,,,
0,-1.191025477,-0.3829654144,-5.843852129,-3.254085755,-5.28150086,-3.020453717,-0.2133999555,0,,,,,
1,-5.562982908,-2.012258222,-3.514756945,-4.789439181,-2.998151801,-2.3049221,5.711439785,0,,,,,
1,-4.362909821,-2.268897951,-4.698035158,-0.3200797206,-0.7302614821,-3.480656987,3.118719293,0,,,,,
1,-0.3915695559,-4.670112238,-4.863984937,-2.171909022,-1.199682684,-5.742243639,3.891711916,0,,,,,
0,-0.4392137583,-0.04951789487,-3.668473746,-5.134203886,-2.733091605,-5.477729441,-4.545262941,0,,,,,
0,-5.074111108,-0.1255138792,-5.342977871,-0.8337061693,-5.934675778,-4.823836287,-6.377610741,0,,,,,
0,-2.647811805,-0.2536823435,-1.034864268,-3.726823407,-1.220272338,-5.94592271,1.496634674,0,,,,,
1,-0.07298329789,-3.785250271,-1.219728564,-4.650861868,-5.548807857,-0.8520438857,5.67301026,0,,,,,
1,-5.212948262,-2.5627613,-4.392220283,-0.444826878,-3.716993245,-0.1559423687,-1.268599812,0,,,,,
1,-2.456150125,-0.801960185,-1.730559631,-1.975623237,-4.385514645,-1.253026431,-2.484708019,0,,,,,
0,-2.375232773,-0.5653799919,-0.2027669907,-0.1370775563,-1.538446603,-0.4167159762,-2.493353444,0,,,,,
1,-3.453499314,-1.45865177,-1.37701399,-2.651879809,-1.636973671,-2.502609027,5.281950128,0,,,,,
0,-5.192214859,-4.567881171,-3.059925424,-4.031567594,-1.274029183,-3.005617105,-4.363200691,0,,,,,
1,-0.9110785129,-4.01572503,-5.187935554,-5.132897354,-5.777920811,-4.188787775,-2.236892712,0,,,,,
0,-0.7376106759,-0.5687309971,-4.187240032,-5.468852154,-0.1149788565,-2.920909295,5.741819544,0,,,,,
0,-4.614045366,-0.07440059477,-3.561491428,-1.575552067,-2.664887751,-3.773218491,1.67154627,0,,,,,
0,-1.74772717,-1.646453533,-2.208173524,-1.131502005,-5.499386025,-4.751190281,-2.384273454,0,,,,,
1,-5.545374635,-5.790118567,-2.597140149,-1.419039969,-4.171982986,-4.549303752,3.379273034,0,,,,,
0,-1.955656731,-2.875746493,-0.7424265478,-1.827333916,-0.233031828,-5.422797038,-2.791729942,0,,,,,
1,-2.039773113,-4.316918305,-4.294224992,-5.569415991,-4.157666052,-2.969309501,-0.2298476654,0,,,,,
0,-4.349005657,-4.938863971,-1.708992666,-5.300290077,-2.448607423,-4.764235346,-6.511010697,0,,,,,
1,-5.325012241,-1.266505771,-5.755228983,-1.975827107,-4.237421379,-4.742900091,3.71007148,0,,,,,
1,-0.4601801375,-2.938558478,-3.781998536,-1.213006366,-4.247619671,-2.119279961,-6.398721895,0,,,,,
0,-1.724735312,-3.318169262,-0.1705369128,-1.513509116,-1.91164928,-0.3271997512,-2.555640882,0,,,,,
1,-5.760235751,-3.4525708,-4.669734969,-2.128616317,-3.542454258,-1.878277905,1.701462873,0,,,,,
1,-0.01346640503,-0.8819411065,-3.262635341,-2.310616741,-1.420344713,-3.686124298,6.622817257,0,,,,,
1,-1.866974447,-1.776320252,-1.260679235,-3.251226501,-5.142751946,-1.32198883,-5.045471139,0,,,,,
0,-4.961344558,-2.793494618,-0.5903895452,-4.57586542,-2.579640252,-1.108474186,5.850387135,0,,,,,
1,-5.955073603,-0.3518583115,-1.939035092,-0.608094217,-3.76330108,-2.058913065,6.907964376,0,,,,,
0,-5.890323528,-4.435803033,-0.2747340993,-1.306463417,-1.695474094,-0.1588605288,4.984490089,0,,,,,
0,-3.923577264,-3.554835724,-5.240963462,-3.085966348,-1.436215337,-3.176152673,-0.6840151052,0,,,,,
1,-3.06707285,-2.397199022,-4.731721194,-4.61756069,-1.636497109,-3.648690702,-1.239418824,0,,,,,
1,-2.702860254,-0.2430535278,-0.926592019,-1.556673447,-1.270164502,-2.43438706,-6.79036917,0,,,,,
1,-0.5994688162,-1.995320992,-1.845319841,-2.826691097,-3.288838382,-5.611469485,0.7312803168,0,,,,,
1,-2.916287444,-0.2467034145,-3.610737373,-0.06610171998,-2.214069492,-3.039253462,6.219129224,0,,,,,
0,-4.921766192,-3.120694759,-0.5731242915,-0.1176650928,-1.056049997,-0.8748742442,6.551229482,0,,,,,
0,-4.379074424,-3.531571077,-0.1114471633,-3.917542627,-4.392940505,-1.527329737,-4.187534947,0,,,,,
1,-4.238759266,-0.6461118475,-4.46270742,-0.7158692992,-1.807014451,-3.693292745,-1.977106622,0,,,,,
0,-5.779473553,-2.147936118,-1.442707147,-5.977368258,-0.7937055489,-0.2438051718,-6.978948893,0,,,,,
1,-4.576412199,-2.239269826,-2.09378928,-1.330776602,-0.5759075812,-2.437646685,0.3250290744,0,,,,,
0,-2.642272035,-2.453609582,-1.749417313,-1.013539716,-2.898983062,-1.21789665,-6.473793129,0,,,,,
0,-0.347597395,-3.716620645,-0.262731885,-0.4759841252,-4.181608177,-1.052766255,-6.143704089,0,,,,,
0,-1.866905282,-4.01425503,-2.785808696,-5.916903175,-2.135142935,-3.778960451,-5.330920212,0,,,,,
1,-4.598238084,-4.22834891,-0.8267284265,-5.283682517,-1.128872938,-3.896775204,5.116140142,0,,,,,
0,-2.308248301,-0.8258370654,-1.065389428,-0.7511584751,-5.296761631,-0.5222287868,4.355662177,0,,,,,
0,-3.72487949,-3.944712256,-4.738044917,-1.240002414,-3.301863558,-3.666859272,-1.918030397,0,,,,,
1,-0.8266140816,-4.966551898,-2.612106073,-2.940150534,-1.295135701,-4.355068569,1.135408787,0,,,,,
0,-3.477607561,-3.786506505,-2.825957119,-0.7831404684,-5.548413121,-0.8334301879,0.2878707861,0,,,,,
0,-2.109709689,-4.230985406,-1.610294948,-5.044386955,-5.482012949,-2.90783987,-6.541890514,0,,,,,
1,-5.81742697,-4.760564999,-5.859801601,-5.114997449,-5.944040963,-3.291588635,5.021576339,0,,,,,
1,-5.216614477,-5.470379355,-1.100074117,-2.461834327,-4.817609691,-0.07379788419,-5.375615661,0,,,,,
0,-5.04934507,-5.080418848,-3.579527539,-3.923766801,-5.650908862,-0.2885028812,-1.917349085,0,,,,,
1,-1.806349776,-0.8459143286,-4.275756983,-5.698815375,-2.801538056,-1.699308561,-1.050605811,0,,,,,
0,-1.038190261,-4.182487206,-3.546077816,-4.413540827,-0.4835156251,-1.035953619,-6.170685065,0,,,,,
0,-2.998711606,-5.418748975,-5.936618611,-4.493688745,-3.246976342,-1.21397987,-5.29013061,0,,,,,
1,-3.494838618,-4.276451383,-1.488094669,-1.573590647,-0.2692549613,-4.733961808,3.821060971,0,,,,,
1,-1.435901653,-1.711413112,-3.021637711,-1.32071904,-1.208592426,-5.763483015,6.437793788,0,,,,,
0,-3.834272291,-3.36131547,-4.951175934,-5.925157623,-0.5544290229,-5.088795634,6.370096232,0,,,,,
0,-5.07157627,-4.341005339,-0.7857046856,-4.431684497,-1.667942285,-1.619949728,3.800326245,0,,,,,
0,-0.3215504898,-1.47463952,-0.843039293,-1.124953205,-4.080792657,-3.093417667,-0.5287129127,0,,,,,
1,-0.6314723972,-5.319772116,-0.1730149986,-4.174153815,-4.361680665,-0.8033012894,1.748731154,0,,,,,
0,-2.797132534,-5.28464351,-5.371351687,-5.999301436,-5.972162475,-2.961804035,-0.2939665096,0,,,,,
1,-2.242286065,-1.783092965,-1.381042599,-3.68459855,-5.636581136,-4.154826492,-4.243005029,0,,,,,
1,-0.4634165758,-2.18344731,-0.789081054,-5.340125589,-3.767524146,-3.298815751,4.222488782,0,,,,,
0,-2.204264456,-1.776990809,-0.06347521703,-5.271492004,-2.945489933,-5.073280046,-0.925106171,0,,,,,
1,-2.861206494,-1.974293019,-5.685436979,-5.857527475,-2.985904431,-5.452179573,-6.711405816,0,,,,,
1,-1.607609685,-0.9761425841,-1.843924421,-4.123954567,-2.802636272,-2.195915752,-6.8942163,0,,,,,
0,-2.659019227,-0.8278803625,-3.883785809,-5.134268048,-3.988093261,-3.632491938,1.295172384,0,,,,,
1,-4.55365283,-3.871376999,-1.591035918,-2.179281811,-3.858684038,-5.937746215,2.745301569,0,,,,,
1,-2.802618504,-2.859155783,-1.163332095,-0.3153230237,-5.912149328,-0.5253057492,4.647126386,0,,,,,
1,-5.9224567,-2.080980129,-0.8550098743,-0.9725900846,-2.7222932,-1.113214754,1.08621577,0,,,,,
0,-4.944391225,-1.649277155,-4.740403171,-4.303169065,-3.959111799,-4.857703997,3.508771757,0,,,,,
1,-3.798507054,-5.449251891,-2.221497572,-5.821834528,-2.678324914,-5.004965838,2.953347242,0,,,,,
1,-3.056665354,-5.260821986,-0.5514078125,-1.943402954,-4.775089965,-4.861189812,3.745331225,0,,,,,
0,-5.363118249,-4.44589461,-0.5406259568,-1.495411943,-2.983987038,-0.2748618997,5.771012893,0,,,,,
0,-1.42383956,-4.102423253,-5.411069913,-5.939578631,-4.388069811,-5.06618747,-2.898751178,0,,,,,
1,-5.014635203,-3.091486469,-2.03157026,-5.009517121,-2.054806388,-1.34646428,5.11782553,0,,,,,
0,-3.881313202,-1.17125269,-1.411484489,-1.594183264,-1.956557629,-5.158406317,-2.754395144,0,,,,,
1,-4.40719284,-0.6438040311,-4.509976381,-3.841258137,-3.707207014,-0.2752965083,-1.33236242,0,,,,,
1,-1.205278786,-3.744503687,-2.214565538,-4.249891179,-5.671287773,-5.24829448,-2.042364262,0,,,,,
1,-4.543277007,-2.491684189,-4.450737187,-0.8073776191,-4.624350558,-2.051040867,1.072441232,0,,,,,
1,-5.154079352,-5.810164936,-2.839242126,-4.011618366,-4.856413278,-3.835807337,-4.32295464,0,,,,,
1,-5.020418972,-0.2928136976,-0.4095492889,-1.059210477,-2.215712636,-0.7028808303,-0.4216645728,0,,,,,
1,-2.926212308,-4.360852375,-5.95653703,-2.242433451,-2.698153409,-2.459825781,2.754049126,0,,,,,
0,-1.754680732,-2.927956784,-2.516484542,-1.902430352,-0.57836251,-0.8472438906,1.988282478,0,,,,,
0,-5.021354848,-0.2947676161,-4.878672356,-3.45162106,-5.324110831,-1.22536067,-1.053732309,0,,,,,
1,-4.473034272,-5.251093698,-2.134965547,-4.386188992,-2.002092854,-0.2037850391,5.047970659,0,,,,,
0,-3.992732217,-0.354458045,-2.750383315,-5.159679049,-5.627228991,-4.709808693,-2.439184012,0,,,,,
0,-5.448978265,-0.3154546779,-5.55227055,-3.644699361,-3.740228622,-3.596408184,-2.169783928,0,,,,,
1,-5.072481886,-4.466018617,-4.381491875,-3.155878155,-3.173527553,-2.299136223,-1.238963986,0,,,,,
1,-4.634729263,-0.9929789833,-4.198529181,-5.045205574,-3.760182741,-5.188047292,-0.53083113,0,,,,,
0,-3.356681009,-2.019750068,-0.813842519,-1.269337555,-5.810726759,-3.76514877,-1.827037863,0,,,,,
0,-4.773802637,-5.636074227,-1.71139828,-2.187945273,-4.14051419,-5.110743255,-5.767839455,0,,,,,
0,-4.785710522,-2.553672254,-4.144318761,-5.694034213,-2.466097339,-0.1396781235,-1.644920395,0,,,,,
0,-3.127786201,-0.5382530581,-4.292821544,-2.52526807,-4.77549259,-2.251894991,-0.1579786125,0,,,,,
1,-1.64547237,-2.956317055,-5.249729721,-3.933454024,-4.901317163,-2.271344206,-2.151580233,0,,,,,
1,-1.094395291,-0.9650981626,-1.74282387,-3.170895726,-0.4809313402,-5.867420278,-1.052334348,0,,,,,
1,-3.529536145,-2.807040441,-5.891849466,-3.457937268,-2.811785701,-1.675786929,-5.591681045,0,,,,,
