Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,y1,y2,y3
-1.00,-0.60,-1.14,-0.73,-1.10,-0.67,-4.36,-0.60,0,1,0
-1.00,-0.76,-0.93,-0.59,-0.87,-0.66,-1.54,-0.59,0,1,0
-1.00,-0.58,-0.83,-0.79,-0.95,-0.74,-1.17,-0.51,0,1,0
-1.00,-0.59,-1.16,-0.78,-1.13,-0.56,-3.46,-0.58,0,1,0
-1.00,-0.62,-1.09,-0.65,-0.89,-0.72,-4.38,-0.52,0,1,0
-1.00,-0.63,-1.05,-0.62,-1.17,-0.74,-4.33,-0.54,0,1,0
-1.00,-0.61,-1.16,-0.72,-0.94,-0.57,-2.42,-0.48,0,1,0
-1.00,-0.64,-0.85,-0.66,-1.12,-0.60,-4.13,-0.47,0,1,0
-1.00,-0.76,-1.18,-0.77,-0.82,-0.58,-1.40,-0.45,0,1,0
-1.00,-0.61,-0.81,-0.75,-0.83,-0.74,-2.14,-0.61,0,1,0
-1.00,-0.72,-1.10,-0.55,-1.17,-0.62,-1.99,-0.52,0,1,0
-1.00,-0.67,-0.84,-0.65,-1.19,-0.78,-2.72,-0.48,0,1,0
-1.00,-0.68,-0.94,-0.55,-0.89,-0.75,-2.29,-0.50,0,1,0
-1.00,-0.69,-0.98,-0.66,-1.17,-0.65,-1.49,-0.52,0,1,0
-1.00,-0.67,-0.92,-0.63,-0.90,-0.56,-2.24,-0.61,0,1,0
-1.00,-0.60,-1.08,-0.60,-0.86,-0.77,-1.03,-0.60,0,1,0
-1.00,-0.67,-1.03,-0.69,-0.84,-0.59,-1.48,-0.56,0,1,0
-1.00,-0.69,-0.81,-0.79,-0.99,-0.70,-2.78,-0.56,0,1,0
-1.00,-0.65,-1.01,-0.57,-1.07,-0.56,-2.45,-0.52,0,1,0
-1.00,-0.62,-1.02,-0.69,-1.00,-0.67,-3.33,-0.58,0,1,0
-1.00,-0.59,-0.95,-0.68,-0.91,-0.67,-3.22,-0.59,0,1,0
-1.00,-0.58,-0.98,-0.65,-1.02,-0.72,-0.96,-0.50,0,1,0
-1.00,-0.75,-0.99,-0.71,-1.07,-0.59,-1.43,-0.49,0,1,0
-1.00,-0.67,-0.83,-0.76,-0.82,-0.73,-1.43,-0.62,0,1,0
-1.00,-0.69,-1.17,-0.63,-0.82,-0.73,-2.83,-0.61,0,1,0
-1.00,-0.75,-0.94,-0.60,-1.13,-0.68,-2.76,-0.54,0,1,0
-1.00,-0.66,-1.00,-0.64,-0.99,-0.62,-3.55,-0.55,0,1,0
-1.00,-0.73,-0.98,-0.61,-1.17,-0.66,-2.73,-0.53,0,1,0
-1.00,-0.69,-0.86,-0.64,-1.04,-0.62,-1.31,-0.59,0,1,0
-1.00,-0.70,-0.88,-0.61,-1.01,-0.61,-3.58,-0.50,0,1,0
-1.00,-0.68,-1.06,-0.65,-0.93,-0.77,-2.36,-0.60,0,1,0
-1.00,-0.79,-1.16,-0.74,-1.07,-0.65,-3.66,-0.60,0,1,0
-1.00,-0.63,-1.14,-0.70,-1.02,-0.77,-3.69,-0.60,0,1,0
-1.00,-0.55,-1.03,-0.72,-0.97,-0.64,-1.59,-0.62,0,1,0
-1.00,-0.74,-1.01,-0.63,-0.99,-0.72,-1.46,-0.47,0,1,0
-1.00,-0.63,-0.84,-0.60,-1.11,-0.67,-1.96,-0.53,0,1,0
-1.00,-0.79,-1.17,-0.57,-1.15,-0.57,-4.49,-0.48,0,1,0
-1.00,-0.56,-0.87,-0.73,-1.06,-0.77,-1.09,-0.48,0,1,0
-1.00,-0.62,-1.01,-0.71,-1.20,-0.60,-3.51,-0.46,0,1,0
-1.00,-0.72,-0.85,-0.57,-0.96,-0.70,-1.05,-0.48,0,1,0
-1.00,-0.72,-0.82,-0.61,-0.83,-0.71,-0.83,-0.60,0,1,0
-1.00,-0.78,-1.13,-0.67,-1.00,-0.63,-3.43,-0.62,0,1,0
-1.00,-0.60,-1.03,-0.78,-0.82,-0.68,-1.40,-0.55,0,1,0
-1.00,-0.67,-1.02,-0.66,-1.04,-0.75,-3.52,-0.46,0,1,0
-1.00,-0.70,-0.92,-0.71,-0.87,-0.66,-3.93,-0.59,0,1,0
-1.00,-0.75,-0.94,-0.70,-1.03,-0.57,-2.89,-0.57,0,1,0
-1.00,-0.59,-1.10,-0.71,-1.11,-0.56,-1.45,-0.45,0,1,0
-1.00,-0.62,-0.95,-0.69,-0.98,-0.77,-2.46,-0.52,0,1,0
-1.00,-0.63,-1.19,-0.75,-1.06,-0.78,-3.82,-0.54,0,1,0
-1.00,-0.66,-1.16,-0.66,-1.09,-0.68,-4.33,-0.47,0,1,0
-1.00,-0.78,-0.89,-0.65,-1.00,-0.66,-2.94,-0.59,0,1,0
-1.00,-0.65,-0.91,-0.73,-0.96,-0.62,-2.20,-0.60,0,1,0
-1.00,-0.62,-0.95,-0.80,-0.81,-0.77,-3.99,-0.62,0,1,0
-1.00,-0.75,-0.95,-0.65,-0.98,-0.67,-2.60,-0.55,0,1,0
1.00,-0.72,-0.65,-0.75,-0.76,-0.59,-1.36,-0.33,0,0,1
1.00,-0.63,-0.74,-0.62,-0.60,-0.79,-1.25,0.17,0,0,1
1.00,-0.70,-0.58,-0.63,-0.74,-0.67,-3.95,0.43,0,0,1
1.00,-0.70,-0.79,-0.56,-0.65,-0.68,-0.87,-0.01,0,0,1
1.00,-0.64,-0.75,-0.70,-0.75,-0.72,-1.88,-0.40,0,0,1
1.00,-0.70,-0.57,-0.75,-0.72,-0.71,-4.40,0.22,0,0,1
1.00,-0.70,-0.75,-0.78,-0.69,-0.57,-1.50,-0.43,0,0,1
1.00,-0.78,-0.56,-0.65,-0.69,-0.74,-2.25,-0.06,0,0,1
1.00,-0.68,-0.72,-0.65,-0.74,-0.77,-0.97,0.25,0,0,1
1.00,-0.71,-0.60,-0.65,-0.63,-0.76,-3.79,0.06,0,0,1
1.00,-0.76,-0.73,-0.72,-0.61,-0.79,-2.19,0.12,0,0,1
1.00,-0.74,-0.79,-0.77,-0.69,-0.79,-2.60,0.17,0,0,1
1.00,-0.74,-0.77,-0.68,-0.60,-0.73,-1.05,0.31,0,0,1
1.00,-0.55,-0.61,-0.71,-0.57,-0.74,-3.46,-0.35,0,0,1
1.00,-0.73,-0.59,-0.69,-0.60,-0.69,-1.37,0.22,0,0,1
1.00,-0.72,-0.75,-0.77,-0.70,-0.72,-3.57,0.06,0,0,1
1.00,-0.60,-0.66,-0.80,-0.64,-0.73,-0.93,0.43,0,0,1
1.00,-0.55,-0.66,-0.57,-0.65,-0.61,-1.72,-0.37,0,0,1
1.00,-0.61,-0.76,-0.68,-0.74,-0.76,-3.68,0.41,0,0,1
1.00,-0.64,-0.77,-0.76,-0.75,-0.73,-3.50,0.20,0,0,1
1.00,-0.66,-0.75,-0.62,-0.64,-0.75,-2.70,-0.13,0,0,1
1.00,-0.79,-0.64,-0.75,-0.78,-0.59,-4.03,0.47,0,0,1
1.00,-0.61,-0.60,-0.57,-0.66,-0.65,-3.54,0.47,0,0,1
1.00,-0.70,-0.61,-0.65,-0.73,-0.61,-1.06,0.04,0,0,1
1.00,-0.72,-0.59,-0.55,-0.65,-0.75,-1.05,0.29,0,0,1
1.00,-0.65,-0.63,-0.72,-0.62,-0.80,-1.08,-0.17,0,0,1
1.00,-0.68,-0.55,-0.69,-0.77,-0.77,-3.61,-0.14,0,0,1
1.00,-0.75,-0.62,-0.67,-0.74,-0.64,-4.05,0.38,0,0,1
1.00,-0.58,-0.77,-0.79,-0.69,-0.65,-2.78,0.21,0,0,1
1.00,-0.74,-0.65,-0.55,-0.67,-0.60,-2.50,0.07,0,0,1
1.00,-0.72,-0.75,-0.72,-0.69,-0.68,-2.18,-0.04,0,0,1
1.00,-0.62,-0.62,-0.70,-0.65,-0.76,-2.87,0.24,0,0,1
1.00,-0.73,-0.72,-0.73,-0.66,-0.60,-3.81,0.10,0,0,1
1.00,-0.68,-0.59,-0.59,-0.58,-0.69,-1.76,-0.40,0,0,1
1.00,-0.66,-0.58,-0.74,-0.72,-0.66,-3.30,-0.10,0,0,1
1.00,-0.75,-0.79,-0.76,-0.70,-0.63,-3.97,0.16,0,0,1
1.00,-0.63,-0.60,-0.56,-0.58,-0.72,-2.35,-0.32,0,0,1
1.00,-0.75,-0.78,-0.65,-0.55,-0.79,-3.52,-0.19,0,0,1
1.00,-0.59,-0.73,-0.62,-0.68,-0.64,-4.02,0.19,0,0,1
1.00,-0.56,-0.56,-0.60,-0.59,-0.57,-1.21,0.20,0,0,1
1.00,-0.65,-0.76,-0.55,-0.60,-0.63,-1.20,0.11,0,0,1
1.00,-0.75,-0.74,-0.79,-0.60,-0.73,-1.60,-0.41,0,0,1
1.00,-0.58,-0.69,-0.62,-0.58,-0.63,-1.81,-0.24,0,0,1
1.00,-0.74,-0.66,-0.72,-0.68,-0.66,-3.52,-0.45,0,0,1
1.00,-0.78,-0.79,-0.66,-0.72,-0.59,-2.58,-0.06,0,0,1
1.00,-0.66,-0.72,-0.78,-0.76,-0.60,-3.83,0.19,0,0,1
1.00,-0.67,-0.72,-0.67,-0.56,-0.60,-1.55,0.24,0,0,1
1.00,-0.74,-0.77,-0.68,-0.73,-0.56,-1.68,0.11,0,0,1
1.00,-0.70,-0.69,-0.59,-0.73,-0.56,-1.64,-0.23,0,0,1
1.00,-0.70,-0.73,-0.75,-0.59,-0.63,-1.70,0.01,0,0,1
1.00,-0.72,-0.58,-0.74,-0.75,-0.72,-3.75,0.10,0,0,1
1.00,-0.67,-0.68,-0.74,-0.71,-0.77,-2.03,0.44,0,0,1
1.00,-0.67,-0.56,-0.69,-0.67,-0.59,-4.31,0.22,0,0,1
1.00,-0.70,-0.77,-0.76,-0.62,-0.63,-3.08,-0.23,0,0,1
1.00,-0.71,-0.56,-0.59,-0.59,-0.57,-2.20,-0.38,0,0,1
1.00,-0.65,-0.57,-0.70,-0.70,-0.64,-1.77,-0.29,0,0,1
1.00,-0.72,-0.56,-0.75,-0.65,-0.66,-4.42,-0.41,0,0,1
1.00,-0.67,-0.73,-0.58,-0.64,-0.65,-4.04,0.40,0,0,1
1.00,-0.59,-0.64,-0.60,-0.68,-0.60,-1.48,-0.40,0,0,1
1.00,-0.73,-0.76,-0.68,-0.69,-0.61,-3.57,-0.15,0,0,1
1.00,-0.75,-0.67,-0.67,-0.71,-0.59,-2.62,0.03,0,0,1
1.00,-0.61,-0.75,-0.73,-0.67,-0.62,-4.16,0.15,0,0,1
1.00,-0.76,-0.61,-0.59,-0.56,-0.79,-2.96,0.14,0,0,1
1.00,-0.68,-0.77,-0.74,-0.66,-0.74,-3.86,0.39,0,0,1
1.00,-0.77,-0.70,-0.74,-0.69,-0.72,-2.53,0.34,0,0,1
1.00,-0.72,-0.74,-0.67,-0.69,-0.77,-2.26,0.41,0,0,1
1.00,-0.73,-0.72,-0.56,-0.59,-0.60,-3.94,-0.47,0,0,1
1.00,-0.61,-0.59,-0.57,-0.60,-0.63,-1.93,0.16,0,0,1
1.00,-0.74,-0.67,-0.71,-0.76,-0.79,-2.93,-0.05,0,0,1
1.00,-0.65,-0.68,-0.71,-0.70,-0.60,-1.75,0.26,0,0,1
1.00,-0.74,-0.59,-0.64,-0.66,-0.56,-2.33,-0.14,0,0,1
1.00,-0.77,-0.64,-0.79,-0.55,-0.71,-2.87,-0.28,0,0,1
1.00,-0.72,-0.71,-0.62,-0.70,-0.60,-0.86,0.26,0,0,1
1.00,-0.72,-0.65,-0.73,-0.77,-0.66,-2.53,-0.24,0,0,1
1.00,-0.69,-0.77,-0.73,-0.78,-0.80,-1.87,-0.01,0,0,1
1.00,-0.62,-0.67,-0.74,-0.62,-0.67,-1.15,-0.03,0,0,1
1.00,-0.67,-0.69,-0.62,-0.63,-0.67,-2.80,-0.18,0,0,1
1.00,-0.72,-0.62,-0.63,-0.79,-0.59,-1.23,-0.29,0,0,1
1.00,-0.67,-0.61,-0.79,-0.57,-0.55,-3.86,0.42,0,0,1
1.00,-0.64,-0.74,-0.56,-0.62,-0.67,-2.52,-0.48,0,0,1
1.00,-0.59,-0.59,-0.62,-0.55,-0.75,-2.89,0.29,0,0,1
1.00,-0.71,-0.66,-0.76,-0.71,-0.64,-3.59,-0.07,0,0,1
1.00,-0.70,-0.75,-0.75,-0.72,-0.72,-2.47,0.29,0,0,1
1.00,-0.72,-0.57,-0.71,-0.56,-0.57,-0.92,0.07,0,0,1
1.00,-0.63,-0.73,-0.68,-0.68,-0.78,-1.14,-0.33,0,0,1
1.00,-0.56,-0.57,-0.69,-0.79,-0.72,-1.81,-0.06,0,0,1
1.00,-0.57,-0.69,-0.79,-0.79,-0.67,-1.33,-0.42,0,0,1
1.00,-0.73,-0.78,-0.59,-0.77,-0.73,-2.15,0.30,0,0,1
1.00,-0.56,-0.78,-0.77,-0.70,-0.65,-3.05,-0.08,0,0,1
1.00,-0.69,-0.57,-0.79,-0.59,-0.73,-4.21,0.37,0,0,1
1.00,-0.72,-0.66,-0.55,-0.55,-0.60,-3.21,-0.27,0,0,1
1.00,-0.59,-0.77,-0.77,-0.58,-0.78,-1.56,-0.26,0,0,1
1.00,-0.67,-0.74,-0.58,-0.66,-0.58,-3.04,0.13,0,0,1
1.00,-0.57,-0.63,-0.79,-0.60,-0.78,-2.70,-0.47,0,0,1
1.00,-0.79,-0.67,-0.69,-0.79,-0.74,-1.62,-0.49,0,0,1
1.00,-0.60,-0.59,-0.63,-0.58,-0.68,-2.51,-0.43,0,0,1
1.00,-0.68,-0.76,-0.61,-0.69,-0.62,-2.38,-0.39,0,0,1
1.00,-0.77,-0.67,-0.72,-0.79,-0.73,-2.14,0.17,0,0,1
1.00,-0.69,-0.60,-0.62,-0.67,-0.70,-2.57,-0.22,0,0,1
1.00,-0.62,-0.60,-0.67,-0.63,-0.55,-4.04,0.23,0,0,1
-1.00,-0.79,-0.70,-0.60,-0.62,-0.64,-2.42,0.12,0,0,1
-1.00,-0.62,-0.56,-0.68,-0.72,-0.78,-1.37,-0.21,0,0,1
-1.00,-0.55,-0.77,-0.72,-0.71,-0.72,-3.27,0.20,0,0,1
-1.00,-0.71,-0.62,-0.62,-0.61,-0.72,-4.00,-0.48,0,0,1
-1.00,-0.56,-0.58,-0.71,-0.70,-0.70,-1.44,0.33,0,0,1
-1.00,-0.76,-0.76,-0.80,-0.61,-0.63,-3.13,-0.44,0,0,1
-1.00,-0.80,-0.62,-0.60,-0.67,-0.59,-4.27,0.27,0,0,1
-1.00,-0.60,-0.57,-0.63,-0.72,-0.56,-2.22,0.23,0,0,1
-1.00,-0.75,-0.61,-0.62,-0.66,-0.68,-1.23,0.20,0,0,1
