Entrada 0,Entrada 1,Entrada 2,Entrada 3,Entrada 4,Entrada 5,Entrada 6,Entrada 7,y1,y2,y3,y4
-1.00,-0.59,-1.15,-0.42,-1.13,-0.65,-3.49,-0.49,1,0,0,0
-1.00,-0.61,-1.19,-0.54,-1.06,-0.73,-4.43,-0.54,1,0,0,0
-1.00,-0.52,-1.03,-0.40,-1.08,-0.43,-4.17,-0.58,1,0,0,0
-1.00,-0.67,-1.09,-0.69,-1.05,-0.46,-3.03,-0.51,1,0,0,0
-1.00,-0.79,-0.98,-0.41,-0.91,-0.50,-3.90,-0.49,1,0,0,0
-1.00,-0.74,-0.96,-0.62,-1.01,-0.56,-3.50,-0.62,1,0,0,0
-1.00,-0.59,-1.08,-0.66,-1.17,-0.72,-4.15,-0.56,1,0,0,0
-1.00,-0.61,-0.95,-0.55,-1.15,-0.67,-1.10,-0.50,1,0,0,0
-1.00,-0.78,-0.88,-0.57,-1.11,-0.79,-2.05,-0.60,1,0,0,0
-1.00,-0.60,-1.07,-0.70,-0.92,-0.68,-1.73,-0.58,1,0,0,0
-1.00,-0.67,-1.06,-0.62,-1.00,-0.73,-3.54,-0.48,1,0,0,0
-1.00,-0.78,-0.90,-0.74,-0.89,-0.69,-0.89,-0.56,1,0,0,0
-1.00,-0.78,-0.92,-0.52,-1.09,-0.65,-4.08,-0.51,1,0,0,0
-1.00,-0.70,-0.94,-0.49,-0.87,-0.52,-3.93,-0.48,1,0,0,0
-1.00,-0.77,-1.17,-0.42,-0.87,-0.70,-3.77,-0.47,1,0,0,0
-1.00,-0.63,-1.16,-0.54,-1.04,-0.64,-4.06,-0.49,1,0,0,0
-1.00,-0.74,-1.02,-0.42,-1.01,-0.41,-1.41,-0.54,1,0,0,0
-1.00,-0.51,-0.88,-0.50,-0.88,-0.63,-4.17,-0.58,1,0,0,0
-1.00,-0.70,-1.07,-0.41,-0.94,-0.61,-1.01,-0.52,1,0,0,0
-1.00,-0.73,-1.00,-0.49,-1.10,-0.50,-2.56,-0.46,1,0,0,0
-1.00,-0.44,-0.92,-0.44,-0.98,-0.66,-3.49,-0.57,1,0,0,0
-1.00,-0.41,-0.96,-0.59,-0.91,-0.71,-3.67,-0.60,1,0,0,0
-1.00,-0.64,-0.97,-0.44,-1.05,-0.71,-1.88,-0.50,1,0,0,0
-1.00,-0.63,-1.17,-0.80,-1.18,-0.72,-3.77,-0.53,1,0,0,0
-1.00,-0.44,-1.02,-0.77,-1.11,-0.55,-2.72,-0.52,1,0,0,0
-1.00,-0.40,-1.01,-0.61,-1.11,-0.72,-1.27,-0.48,1,0,0,0
-1.00,-0.60,-1.03,-0.48,-1.03,-0.48,-1.77,-0.50,1,0,0,0
-1.00,-0.52,-0.88,-0.41,-0.92,-0.44,-2.05,-0.53,1,0,0,0
-1.00,-0.64,-1.00,-0.59,-1.08,-0.56,-2.86,-0.48,1,0,0,0
-1.00,-0.65,-1.01,-0.57,-1.04,-0.49,-1.72,-0.49,1,0,0,0
-1.00,-0.53,-0.98,-0.50,-0.88,-0.56,-3.23,-0.61,1,0,0,0
-1.00,-0.58,-1.10,-0.50,-0.88,-0.48,-1.03,-0.62,1,0,0,0
-1.00,-0.56,-0.94,-0.73,-1.10,-0.62,-3.08,-0.61,1,0,0,0
-1.00,-0.55,-1.16,-0.80,-1.00,-0.74,-1.15,-0.61,1,0,0,0
-1.00,-0.72,-0.93,-0.60,-1.17,-0.65,-3.35,-0.51,1,0,0,0
-1.00,-0.42,-0.88,-0.61,-1.02,-0.57,-4.08,-0.59,1,0,0,0
-1.00,-0.47,-0.94,-0.63,-1.11,-0.55,-2.92,-0.55,1,0,0,0
-1.00,-0.40,-0.91,-0.73,-1.00,-0.57,-2.25,-0.59,1,0,0,0
-1.00,-0.52,-1.09,-0.71,-0.99,-0.42,-4.00,-0.61,1,0,0,0
-1.00,-0.40,-1.19,-0.57,-1.05,-0.42,-3.67,-0.58,1,0,0,0
-1.00,-0.68,-1.04,-0.62,-1.01,-0.51,-3.76,-0.55,1,0,0,0
-1.00,-0.48,-0.94,-0.43,-0.94,-0.75,-3.13,-0.54,1,0,0,0
-1.00,-0.74,-0.88,-0.54,-1.06,-0.43,-3.38,-0.59,1,0,0,0
-1.00,-0.63,-1.07,-0.51,-0.94,-0.64,-2.11,-0.47,1,0,0,0
-1.00,-0.54,-1.03,-0.48,-1.05,-0.54,-1.73,-0.56,1,0,0,0
-1.00,-0.69,-1.02,-0.54,-0.90,-0.62,-4.10,-0.53,1,0,0,0
-1.00,-0.57,-1.08,-0.78,-1.20,-0.71,-2.58,-0.55,1,0,0,0
-1.00,-0.47,-1.08,-0.58,-0.92,-0.54,-1.96,-0.45,1,0,0,0
-1.00,-0.70,-1.19,-0.74,-0.85,-0.45,-1.05,-0.59,1,0,0,0
-1.00,-0.67,-1.14,-0.44,-0.88,-0.77,-1.45,-0.54,1,0,0,0
-1.00,-0.50,-0.91,-0.60,-1.13,-0.55,-3.41,-0.59,1,0,0,0
-1.00,-0.64,-1.12,-0.63,-0.93,-0.57,-2.03,-0.55,1,0,0,0
-1.00,-0.71,-1.18,-0.71,-1.05,-0.74,-1.71,-0.58,1,0,0,0
-1.00,-0.55,-1.20,-0.52,-0.93,-0.49,-3.77,-0.56,1,0,0,0
-1.00,-0.63,-0.96,-0.60,-1.00,-0.57,-3.03,-0.46,1,0,0,0
-1.00,-0.62,-1.17,-0.79,-1.15,-0.46,-3.48,-0.62,1,0,0,0
-1.00,-0.54,-1.15,-0.59,-1.20,-0.69,-2.52,-0.53,1,0,0,0
-1.00,-0.70,-1.19,-0.74,-1.17,-0.69,-1.31,-0.47,1,0,0,0
-1.00,-0.52,-1.16,-0.50,-1.06,-0.45,-1.65,-0.54,1,0,0,0
-1.00,-0.47,-1.10,-0.61,-1.01,-0.57,-2.20,-0.57,1,0,0,0
-1.00,-0.53,-1.19,-0.59,-1.03,-0.44,-2.23,-0.59,1,0,0,0
-1.00,-0.75,-1.02,-0.72,-1.17,-0.68,-3.84,-0.47,1,0,0,0
-1.00,-0.47,-1.11,-0.43,-1.14,-0.61,-3.37,-0.51,1,0,0,0
-1.00,-0.61,-0.86,-0.76,-0.96,-0.69,-4.25,-0.53,1,0,0,0
-1.00,-0.69,-0.98,-0.42,-1.05,-0.62,-3.44,-0.47,1,0,0,0
-1.00,-0.75,-1.09,-0.77,-0.91,-0.40,-1.54,-0.50,1,0,0,0
-1.00,-0.41,-0.87,-0.58,-1.16,-0.64,-3.36,-0.49,1,0,0,0
-1.00,-0.67,-0.98,-0.46,-1.01,-0.75,-2.52,-0.54,1,0,0,0
-1.00,-0.56,-0.90,-0.74,-1.19,-0.72,-4.29,-0.56,1,0,0,0
-1.00,-0.80,-1.17,-0.61,-1.06,-0.70,-2.82,-0.53,1,0,0,0
-1.00,-0.44,-1.10,-0.80,-0.87,-0.71,-4.43,-0.57,1,0,0,0
-1.00,-0.55,-0.94,-0.59,-1.10,-0.66,-1.82,-0.61,1,0,0,0
-1.00,-0.71,-1.00,-0.54,-1.04,-0.62,-1.30,-0.46,1,0,0,0
-1.00,-0.69,-0.94,-0.57,-1.13,-0.43,-1.29,-0.46,1,0,0,0
-1.00,-0.52,-1.19,-0.74,-1.12,-0.65,-2.68,-0.55,1,0,0,0
-1.00,-0.45,-1.13,-0.70,-1.06,-0.52,-3.11,-0.45,1,0,0,0
-1.00,-0.70,-0.92,-0.51,-0.94,-0.43,-1.43,-0.58,1,0,0,0
-1.00,-0.59,-1.15,-0.73,-0.91,-0.64,-1.07,-0.52,1,0,0,0
-1.00,-0.52,-1.16,-0.70,-1.08,-0.72,-3.80,-0.58,1,0,0,0
-1.00,-0.49,-1.08,-0.51,-1.10,-0.65,-2.76,-0.50,1,0,0,0
-1.00,-0.72,-0.90,-0.66,-1.02,-0.59,-3.51,-0.50,1,0,0,0
-1.00,-0.52,-0.95,-0.56,-1.19,-0.48,-1.47,-0.51,1,0,0,0
-1.00,-0.44,-1.09,-0.63,-0.89,-0.55,-3.59,-0.46,1,0,0,0
-1.00,-0.63,-0.95,-0.51,-1.15,-0.71,-4.13,-0.55,1,0,0,0
-1.00,-0.71,-1.05,-0.45,-0.99,-0.58,-3.90,-0.57,1,0,0,0
-1.00,-0.56,-1.05,-0.63,-0.85,-0.80,-4.35,-0.62,1,0,0,0
-1.00,-0.67,-1.13,-0.70,-0.97,-0.56,-1.31,-0.55,1,0,0,0
-1.00,-0.65,-1.19,-0.52,-1.02,-0.48,-2.75,-0.47,1,0,0,0
-1.00,-0.42,-0.94,-0.53,-1.10,-0.78,-0.87,-0.51,1,0,0,0
-1.00,-0.72,-0.86,-0.50,-0.99,-0.66,-1.02,-0.54,1,0,0,0
-1.00,-0.57,-0.89,-0.76,-1.02,-0.76,-2.43,-0.50,1,0,0,0
-1.00,-0.79,-0.85,-0.59,-1.01,-0.53,-2.74,-0.49,1,0,0,0
-1.00,-0.71,-1.00,-0.53,-1.13,-0.64,-1.46,-0.60,1,0,0,0
-1.00,-0.57,-1.04,-0.75,-1.08,-0.69,-2.22,-0.56,1,0,0,0
-1.00,-0.60,-0.96,-0.55,-0.89,-0.74,-0.86,-0.47,1,0,0,0
-1.00,-0.53,-0.93,-0.51,-0.96,-0.59,-0.89,-0.60,1,0,0,0
-1.00,-0.47,-0.95,-0.50,-0.86,-0.80,-4.19,-0.50,1,0,0,0
-1.00,-0.72,-1.09,-0.51,-0.96,-0.72,-1.36,-0.58,1,0,0,0
-1.00,-0.76,-1.11,-0.52,-1.04,-0.44,-1.30,-0.62,1,0,0,0
-1.00,-0.54,-0.96,-0.78,-1.12,-0.69,-4.07,-0.59,1,0,0,0
-1.00,-0.43,-0.87,-0.43,-1.14,-0.56,-2.67,-0.57,1,0,0,0
-1.00,-0.46,-1.17,-0.76,-0.97,-0.56,-0.88,-0.56,1,0,0,0
-1.00,-0.77,-1.05,-0.50,-1.02,-0.65,-3.63,-0.56,1,0,0,0
-1.00,-0.56,-1.08,-0.67,-1.19,-0.49,-2.17,-0.59,1,0,0,0
-1.00,-0.56,-1.12,-0.80,-1.16,-0.78,-3.85,-0.54,1,0,0,0
-1.00,-0.71,-0.91,-0.62,-1.11,-0.59,-2.36,-0.55,1,0,0,0
-1.00,-0.71,-0.95,-0.67,-1.13,-0.77,-2.75,-0.52,1,0,0,0
-1.00,-0.79,-0.98,-0.59,-0.87,-0.53,-3.30,-0.52,1,0,0,0
-1.00,-0.65,-1.19,-0.57,-1.15,-0.52,-2.49,-0.48,1,0,0,0
-1.00,-0.76,-0.94,-0.58,-0.95,-0.73,-0.84,-0.61,1,0,0,0
-1.00,-0.70,-0.99,-0.61,-1.05,-0.71,-1.58,-0.61,1,0,0,0
-1.00,-0.70,-0.88,-0.59,-1.09,-0.62,-1.51,-0.62,1,0,0,0
-1.00,-0.42,-0.96,-0.62,-1.20,-0.53,-3.41,-0.54,1,0,0,0
-1.00,-0.56,-0.99,-0.76,-0.98,-0.56,-1.40,-0.53,1,0,0,0
-1.00,-0.69,-1.03,-0.48,-1.06,-0.63,-1.32,-0.57,1,0,0,0
-1.00,-0.67,-1.11,-0.56,-1.06,-0.43,-2.24,-0.62,1,0,0,0
-1.00,-0.72,-1.16,-0.45,-1.00,-0.54,-2.88,-0.47,1,0,0,0
-1.00,-0.40,-1.11,-0.52,-0.92,-0.60,-0.81,-0.55,1,0,0,0
-1.00,-0.48,-1.11,-0.53,-1.12,-0.65,-1.37,-0.62,1,0,0,0
-1.00,-0.72,-1.18,-0.45,-0.90,-0.63,-1.21,-0.45,1,0,0,0
-1.00,-0.70,-0.95,-0.69,-0.91,-0.44,-3.60,-0.62,1,0,0,0
-1.00,-0.55,-0.89,-0.54,-1.12,-0.62,-2.90,-0.47,1,0,0,0
-1.00,-0.49,-1.07,-0.45,-1.20,-0.68,-1.79,-0.62,1,0,0,0
-1.00,-0.63,-1.07,-0.64,-0.86,-0.40,-4.28,-0.51,1,0,0,0
-1.00,-0.52,-1.07,-0.50,-1.10,-0.45,-3.08,-0.59,1,0,0,0
-1.00,-0.59,-0.94,-0.60,-0.90,-0.50,-1.30,-0.53,1,0,0,0
-1.00,-0.58,-1.09,-0.72,-0.88,-0.78,-4.36,-0.58,1,0,0,0
-1.00,-0.70,-0.92,-0.63,-1.04,-0.69,-1.63,-0.51,1,0,0,0
-1.00,-0.54,-1.20,-0.50,-0.93,-0.47,-0.98,-0.50,1,0,0,0
-1.00,-0.53,-0.86,-0.53,-1.05,-0.75,-3.59,-0.62,1,0,0,0
-1.00,-0.69,-1.03,-0.53,-1.00,-0.68,-4.08,-0.49,1,0,0,0
-1.00,-0.52,-0.97,-0.65,-1.03,-0.41,-1.24,-0.56,1,0,0,0
-1.00,-0.55,-1.14,-0.45,-1.10,-0.57,-1.06,-0.49,1,0,0,0
-1.00,-0.72,-1.06,-0.66,-0.94,-0.64,-2.61,-0.56,1,0,0,0
-1.00,-0.65,-0.87,-0.60,-0.85,-0.53,-4.28,-0.51,1,0,0,0
-1.00,-0.66,-1.06,-0.51,-0.94,-0.41,-3.97,-0.48,1,0,0,0
-1.00,-0.62,-0.92,-0.74,-1.07,-0.55,-1.38,-0.56,1,0,0,0
-1.00,-0.80,-1.02,-0.80,-1.02,-0.55,-3.46,-0.46,1,0,0,0
-1.00,-0.49,-1.10,-0.73,-1.14,-0.42,-1.16,-0.58,1,0,0,0
-1.00,-0.74,-1.03,-0.70,-1.14,-0.62,-1.57,-0.53,1,0,0,0
-1.00,-0.74,-1.00,-0.71,-0.93,-0.68,-2.29,-0.49,1,0,0,0
-1.00,-0.48,-0.95,-0.47,-1.11,-0.76,-2.04,-0.58,1,0,0,0
-1.00,-0.63,-1.03,-0.66,-1.18,-0.63,-4.11,-0.60,1,0,0,0
-1.00,-0.60,-0.98,-0.57,-0.89,-0.47,-3.84,-0.59,1,0,0,0
-1.00,-0.65,-1.11,-0.52,-0.93,-0.43,-3.34,-0.57,1,0,0,0
-1.00,-0.57,-1.18,-0.73,-1.10,-0.62,-2.24,-0.47,1,0,0,0
-1.00,-0.42,-0.97,-0.60,-0.90,-0.41,-2.06,-0.58,1,0,0,0
-1.00,-0.72,-1.17,-0.59,-0.91,-0.63,-4.08,-0.55,1,0,0,0
-1.00,-0.66,-1.11,-0.67,-0.90,-0.53,-1.47,-0.50,1,0,0,0
-1.00,-0.54,-1.09,-0.65,-1.11,-0.79,-1.59,-0.59,1,0,0,0
-1.00,-0.55,-1.16,-0.79,-1.03,-0.61,-0.87,-0.60,1,0,0,0
-1.00,-0.76,-0.93,-0.41,-1.05,-0.55,-1.49,-0.60,1,0,0,0
-1.00,-0.68,-0.92,-0.49,-1.20,-0.43,-1.73,-0.57,1,0,0,0
-1.00,-0.42,-1.00,-0.60,-0.95,-0.44,-3.35,-0.56,1,0,0,0
-1.00,-0.78,-1.14,-0.46,-1.06,-0.45,-2.39,-0.51,1,0,0,0
-1.00,-0.44,-0.92,-0.44,-1.06,-0.41,-1.91,-0.60,1,0,0,0
-1.00,-0.78,-1.05,-0.80,-0.99,-0.56,-1.87,-0.55,1,0,0,0
-1.00,-0.68,-0.88,-0.55,-1.10,-0.68,-3.33,-0.59,1,0,0,0
-1.00,-0.61,-0.94,-0.42,-1.15,-0.44,-0.90,-0.46,1,0,0,0
-1.00,-0.65,-1.16,-0.53,-0.95,-0.44,-1.93,-0.57,1,0,0,0
-1.00,-0.69,-1.05,-0.64,-1.19,-0.65,-1.73,-0.58,1,0,0,0
-1.00,-0.42,-0.92,-0.51,-0.98,-0.43,-2.10,-0.54,1,0,0,0
-1.00,-0.57,-1.02,-0.53,-0.97,-0.48,-1.50,-0.51,1,0,0,0
-1.00,-0.70,-1.05,-0.78,-1.11,-0.56,-4.20,-0.54,1,0,0,0
-1.00,-0.73,-1.03,-0.45,-0.94,-0.51,-2.76,-0.53,1,0,0,0
-1.00,-0.45,-1.16,-0.40,-1.16,-0.52,-1.77,-0.62,1,0,0,0
-1.00,-0.48,-1.01,-0.47,-0.91,-0.51,-1.40,-0.53,1,0,0,0
-1.00,-0.76,-0.93,-0.73,-1.06,-0.56,-2.98,-0.59,1,0,0,0
-1.00,-0.70,-0.91,-0.68,-1.02,-0.74,-2.77,-0.57,1,0,0,0
-1.00,-0.45,-0.99,-0.60,-1.16,-0.64,-3.90,-0.46,1,0,0,0
-1.00,-0.51,-0.90,-0.54,-0.86,-0.50,-1.57,-0.54,1,0,0,0
-1.00,-0.72,-0.99,-0.48,-0.96,-0.55,-2.79,-0.55,1,0,0,0
-1.00,-0.48,-1.05,-0.55,-1.05,-0.68,-2.87,-0.62,1,0,0,0
-1.00,-0.60,-1.20,-0.68,-1.18,-0.66,-4.17,-0.54,1,0,0,0
-1.00,-0.55,-1.02,-0.48,-0.89,-0.62,-2.72,-0.56,1,0,0,0
-1.00,-0.70,-0.95,-0.80,-1.06,-0.62,-1.82,-0.50,1,0,0,0
-1.00,-0.56,-1.10,-0.47,-1.07,-0.59,-3.71,-0.45,1,0,0,0
-1.00,-0.66,-1.11,-0.57,-1.01,-0.59,-3.09,-0.54,1,0,0,0
-1.00,-0.74,-0.98,-0.50,-1.02,-0.44,-4.47,-0.51,1,0,0,0
-1.00,-0.50,-1.01,-0.44,-0.85,-0.66,-2.88,-0.58,1,0,0,0
-1.00,-0.63,-1.04,-0.50,-1.01,-0.64,-4.05,-0.61,1,0,0,0
-1.00,-0.66,-1.09,-0.43,-1.04,-0.59,-1.10,-0.46,1,0,0,0
-1.00,-0.75,-0.90,-0.45,-0.98,-0.54,-3.73,-0.48,1,0,0,0
-1.00,-0.62,-1.03,-0.53,-1.14,-0.68,-1.52,-0.51,1,0,0,0
-1.00,-0.71,-0.88,-0.72,-0.97,-0.77,-1.75,-0.56,1,0,0,0
-1.00,-0.71,-0.97,-0.42,-1.10,-0.77,-3.45,-0.48,1,0,0,0
-1.00,-0.45,-1.00,-0.74,-1.17,-0.65,-2.83,-0.53,1,0,0,0
-1.00,-0.61,-1.10,-0.64,-1.04,-0.46,-2.43,-0.45,1,0,0,0
-1.00,-0.71,-1.13,-0.59,-1.08,-0.48,-2.13,-0.61,1,0,0,0
-1.00,-0.57,-0.92,-0.51,-1.07,-0.63,-1.41,-0.51,1,0,0,0
-1.00,-0.63,-1.01,-0.45,-1.18,-0.71,-2.19,-0.57,1,0,0,0
-1.00,-0.48,-1.01,-0.43,-1.12,-0.49,-1.80,-0.48,1,0,0,0
-1.00,-0.65,-1.19,-0.56,-1.12,-0.52,-1.20,-0.52,1,0,0,0
-1.00,-0.54,-1.16,-0.45,-1.19,-0.46,-1.47,-0.55,1,0,0,0
-1.00,-0.74,-0.89,-0.77,-1.06,-0.77,-1.42,-0.45,1,0,0,0
-1.00,-0.42,-1.03,-0.45,-1.04,-0.63,-4.01,-0.49,1,0,0,0
-1.00,-0.59,-1.13,-0.75,-1.16,-0.43,-2.59,-0.55,1,0,0,0
-1.00,-0.80,-1.05,-0.64,-1.19,-0.76,-4.00,-0.51,1,0,0,0
-1.00,-0.45,-1.11,-0.57,-0.86,-0.80,-2.54,-0.61,1,0,0,0
-1.00,-0.80,-1.14,-0.54,-1.18,-0.80,-1.77,-0.46,1,0,0,0
-1.00,-0.40,-1.11,-0.63,-1.03,-0.57,-2.84,-0.57,1,0,0,0
-1.00,-0.43,-0.97,-0.80,-1.14,-0.74,-4.35,-0.59,1,0,0,0
-1.00,-0.54,-1.14,-0.57,-1.10,-0.51,-4.26,-0.51,1,0,0,0
-1.00,-0.80,-1.00,-0.54,-0.96,-0.69,-1.22,-0.54,1,0,0,0
-1.00,-0.63,-0.88,-0.60,-1.15,-0.41,-1.88,-0.57,1,0,0,0
-1.00,-0.76,-1.16,-0.69,-0.98,-0.53,-3.98,-0.51,1,0,0,0
-1.00,-0.75,-1.08,-0.47,-0.86,-0.71,-2.92,-0.58,1,0,0,0
-1.00,-0.63,-0.87,-0.43,-1.01,-0.53,-4.43,-0.56,1,0,0,0
-1.00,-0.77,-0.97,-0.40,-0.94,-0.62,-2.80,-0.57,1,0,0,0
-1.00,-0.64,-1.09,-0.67,-0.90,-0.63,-2.04,-0.58,1,0,0,0
-1.00,-0.70,-1.08,-0.43,-1.06,-0.78,-1.78,-0.49,1,0,0,0
-1.00,-0.71,-1.03,-0.45,-0.92,-0.48,-3.09,-0.48,1,0,0,0
-1.00,-0.60,-0.97,-0.41,-0.93,-0.49,-3.55,-0.55,1,0,0,0
-1.00,-0.73,-0.88,-0.42,-1.06,-0.72,-3.55,-0.53,1,0,0,0
-1.00,-0.63,-1.05,-0.79,-0.95,-0.67,-2.82,-0.48,1,0,0,0
-1.00,-0.51,-0.92,-0.41,-1.12,-0.67,-4.41,-0.50,1,0,0,0
-1.00,-0.79,-0.99,-0.60,-1.10,-0.68,-3.25,-0.60,1,0,0,0
-1.00,-0.71,-1.16,-0.50,-0.85,-0.69,-3.96,-0.53,1,0,0,0
-1.00,-0.58,-1.00,-0.69,-1.14,-0.72,-2.48,-0.57,1,0,0,0
-1.00,-0.57,-1.10,-0.73,-1.08,-0.54,-3.55,-0.60,1,0,0,0
-1.00,-0.79,-1.07,-0.76,-0.92,-0.72,-4.37,-0.51,1,0,0,0
-1.00,-0.68,-0.92,-0.52,-1.13,-0.66,-1.23,-0.54,1,0,0,0
-1.00,-0.79,-1.12,-0.59,-0.97,-0.71,-1.23,-0.57,1,0,0,0
-1.00,-0.59,-0.89,-0.75,-0.93,-0.55,-2.53,-0.50,1,0,0,0
-1.00,-0.63,-1.10,-0.42,-1.09,-0.49,-2.77,-0.61,1,0,0,0
-1.00,-0.68,-1.20,-0.76,-1.02,-0.55,-2.47,-0.55,1,0,0,0
-1.00,-0.64,-1.17,-0.59,-0.92,-0.44,-1.03,-0.59,1,0,0,0
-1.00,-0.73,-1.18,-0.77,-1.06,-0.66,-1.61,-0.47,1,0,0,0
-1.00,-0.41,-0.91,-0.40,-1.12,-0.77,-2.90,-0.55,1,0,0,0
-1.00,-0.60,-0.98,-0.44,-1.14,-0.48,-2.07,-0.51,1,0,0,0
-1.00,-0.80,-1.04,-0.51,-0.99,-0.52,-2.66,-0.50,1,0,0,0
-1.00,-0.65,-0.98,-0.49,-0.99,-0.67,-4.40,-0.61,1,0,0,0
-1.00,-0.50,-0.91,-0.58,-1.18,-0.40,-3.80,-0.51,1,0,0,0
-1.00,-0.60,-0.96,-0.61,-1.12,-0.60,-1.41,-0.53,1,0,0,0
-1.00,-0.58,-0.97,-0.57,-1.08,-0.63,-3.09,-0.46,1,0,0,0
-1.00,-0.40,-0.94,-0.59,-0.95,-0.68,-3.70,-0.51,1,0,0,0
-1.00,-0.78,-0.96,-0.72,-1.19,-0.79,-1.01,-0.51,1,0,0,0
